size,rooms,age,location_Delhi,location_Kolkata,location_Mumbai,location_Patna,location_Ranchi,house_price
1200,2,10,0,0,0,1,0,4200000
1500,3,5,0,0,0,1,0,5800000
1800,3,4,1,0,0,0,0,9500000
1100,2,8,0,0,1,0,0,10500000
1400,3,6,0,1,0,0,0,5200000
1300,2,7,0,0,0,0,1,3800000
2000,4,3,0,0,0,1,0,7800000
1600,3,5,1,0,0,0,0,8200000
1500,3,2,0,0,1,0,0,13500000
1700,3,4,0,1,0,0,0,6800000
1000,2,12,0,0,0,0,1,3000000
1800,4,6,0,0,0,1,0,7000000
2200,4,3,1,0,0,0,0,11500000
2000,4,5,0,0,1,0,0,16000000
1200,2,9,0,1,0,0,0,4500000
1600,3,5,0,0,0,0,1,4800000
2500,5,2,0,0,0,1,0,10000000
1300,2,8,1,0,0,0,0,6800000
1800,3,4,0,0,1,0,0,14500000
2000,4,3,0,1,0,0,0,8200000
