Location,Size,Rooms,Age,HousePrice
Patna,1200,2,10,4200000
Patna,1500,3,5,5800000
Delhi,1800,3,4,9500000
Mumbai,1100,2,8,10500000
Kolkata,1400,3,6,5200000
Ranchi,1300,2,7,3800000
Patna,2000,4,3,7800000
Delhi,1600,3,5,8200000
Mumbai,1500,3,2,13500000
Kolkata,1700,3,4,6800000
Ranchi,1000,2,12,3000000
Patna,1800,4,6,7000000
Delhi,2200,4,3,11500000
Mumbai,2000,4,5,16000000
Kolkata,1200,2,9,4500000
Ranchi,1600,3,5,4800000
Patna,2500,5,2,10000000
Delhi,1300,2,8,6800000
Mumbai,1800,3,4,14500000
Kolkata,2000,4,3,8200000
